word,definition,frequency
abacus,frame with balls for calculating,2
abate,to lessen to subside,6
abdication,giving up control authority,2
aberration,straying away from what is normal,5
abet,help/encourage smb (in doing wrong),2
abeyance,suspended action,2
abhor,to hate to detest,3
abide,be faithful to endure,2
abjure,promise or swear to give up,3
abraded,rubbed off worn away by friction,2
abrogate,repeal or annul by authority,2
abscond,to go away suddenly (to avoid arrest),4
abstruse,difficult to comprehend obscure,16
abut,border on,2
abysmal,bottomless extreme,3
acarpous,effete no longer fertile worn out,2
acclaimed,welcomed with shouts and approval,2
accolade,praise approval,2
accretion,the growing of separate things into one,3
adamant,kind of stone inflexible,4
admonitory,containing warning,2
adorn,add beauty decorate,5
adulteration,making unpure poorer in quality,3
affable,polite and friendly,9
affinity,close connection relationship,4
aggravate,make worse irritate,6
agile,active quick-moving,5
agog,eager/excited,2
ail,trouble be ill,2
alacrity,eager and cheerful readiness,5
alcove,recess/partially enclosed place,2
allegiance,duty support loyalty,2
alleviate,make (pain) easier to bear,3
alloy,to debase by mixing with something inferior,3
aloof,reserved indifferent,6
amalgamate,mix combine unite societies,2
ambidextrous,able to use the left hand or the right equally well,2
ambiguous,doubtful uncertain,3
ambivalent,having both of two contrary meanings,3
ameliorate,improve make better,5
amortize,end (a debt) by setting aside money,2
anguish,severe suffering,2
animosity,strong dislike,2
antidote,medicine used against a poison or a disease,3
antithetical,direct opposing,3
apartheid,brutal racial discrimination,2
aplomb,self-confidence,4
apostate,one who abandons long-held religious or political convictions,6
apotheosis,deification glorification to godliness,2
appease,make quiet or calm,6
apprehensive,grasping understanding fear unhappy feeling about future,5
apprise,give notice to inform,2
approbation,approval,4
apropos,appropriate to the situation apt,4
apt,well-suited quick-witted,9
arabesque,a complex ornate design,2
arboreal,of connected with trees,2
ardor,enthusiasm,2
arduous,steep difficult ascent laborious,10
argot,jargon slang,2
arrant,in the highest degree,2
arrogance,proud superior manner of behaviour,8
articulate,speak distinctly connect by joints,9
ascend,go or come up,2
ascertain,get to know,2
ascetic,practicing self-denial austere stark,2
ascribe,consider to be the origin of or belonging to,6
aseptic,surgically clean,2
asperity,roughness harshness ill temper irritability,2
aspersion,slander,6
assail,with attack violently,2
assiduous,diligent hard-working sedulous,5
assuage,make smth (pain desire) less,8
asterisk,the mark * (e.g.. omitted letters),2
astringent,substance that shrinks,2
astute,clever quick at seeing to get an advantage,7
atonement,repayment death of Jesus,2
attenuate,make thin. weaken enervate,4
attune,bring into harmony,2
audacious,daring foolishly bold impudent,4
augury,omen sign,2
august,majestic venerable,5
auspicious,favorable successful prosperous,6
austere,severely moral and strict simple and plain,5
auxiliary,helping supporting,2
aver,affirm assert prove justify,3
aversion,strong dislike,4
avid,eager greedy,2
